Индикаторлар,Давлат бюджети,Республика бюджети,Қорақалпоғистон Республикаси,Жумладан,Амударё тумани,Беруний тумани,Бўзатов тумани,Қораўзак тумани,Кегейли тумани,Қўнғирот тумани,Қонликўл тумани,Мўйноқ тумани,Нукус тумани,Тахиатош тумани,Тахтакўпир тумани,Тўрткўл тумани,Хўжайли тумани,Чимбой тумани,Шуманай тумани,Элликқалъа тумани,Нукус шаҳри
I. ДАРОМАДЛАР,47846.37,40788.51,328.58,162.54,14.57,16.45,1.51,7.96,7.17,11.05,4.6,6.19,7.66,7.42,4.26,14.18,10.91,9.5,3.96,12.99,25.69
1. Солиқ қўмитаси,32423.23,25534.31,320.99,153.56,14.69,16.74,1.55,8.11,7.34,10.92,4.65,6.17,7.92,7.29,4.47,14.21,11.07,9.55,3.95,13.41,25.4
Фойда солиғи,15188.95,14358.8,29.45,20.26,0.89,1.08,0.02,1.01,0.09,0.5,0.1,0.8,0.63,0.43,0.05,0.74,0.63,0.71,-0.2,0.62,1.08
Айланмадан олинадиган солиқ,193.27,0,6.1,1.44,0.68,0.6,0.05,0.08,0.1,0.34,0.09,0.08,0.19,0.22,0.07,0.69,0.34,0.21,0.07,0.53,0.3
Жисмоний шахслардан олинадиган даромад солиғи,3868.77,1644.41,142.96,83.57,4.99,3.45,0.93,2.69,3.42,3.9,2.41,2.38,3.37,3.48,2.17,2.61,4.52,4.27,2.14,3.87,8.79
Қўшилган қиймат солиғи,3426.45,3426.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Акциз солиғи,1750.69,1322.95,25.95,15.4,0.71,1.46,0.01,0.37,0.86,1.24,0.13,0.11,0.5,0.42,0.2,0.95,0.9,0.73,0.33,0.85,0.78
Мол-мулк солиғи,891.52,0,24.85,3.45,1.6,1.74,0.1,0.29,0.5,1.19,0.29,0.19,0.41,0.65,0.25,2.43,1.05,0.58,0.35,1.45,8.32
Ер солиғи,1135.57,0,40.78,3.79,3.55,4.75,0.25,1.16,1.15,2.32,0.92,0.31,1.13,1.42,0.65,5.66,2.25,1.92,0.9,4.2,4.47
Ер қаъридан фойдаланганлик учун солиқ,4338.42,4306.77,2.47,0,0.57,0.51,0,1.37,0.01,0,0,0,0,0.01,0,0,0,0,0,-0,0
Сув ресурсларидан фойдаланганлик учун солиқ,110.41,0,6.91,0,0.48,1,0.12,0.52,0.49,0.3,0.24,0,0.43,0.14,0.54,0.42,0.52,0.3,0.05,1.19,0.18
Бошқалар (дивиденд, давлат божи, жарима, йиғим),1519.18,474.92,41.52,25.64,1.22,2.14,0.07,0.63,0.72,1.13,0.46,2.28,1.26,0.53,0.55,0.7,0.86,0.83,0.3,0.71,1.48
2. Божхона қўмитаси,6730.51,6729.66,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3. Иқтисодиёт ва молия вазирлиги,8692.63,8524.54,7.59,8.98,-0.12,-0.29,-0.04,-0.15,-0.17,0.13,-0.05,0.02,-0.26,0.12,-0.21,-0.03,-0.17,-0.05,0.01,-0.42,0.29
