indikatorlar,davlat_byudjeti,respublika_byudjeti,buxoro_viloyati,viloyat_byudjeti,olot_tumani ,buxoro_tumani,vobkent_tumani,gijduvon_tumani,kogon_tumani,qorakol_tumani,qorovulbozor_tumani,peshko_tumani,romitan_tumani,jondor_tumani,shofirkon_tumani,buxoro_shaxar,kogon_shaxar
daromadlar,27269.86,21846.63,363.97,233.72,10.27,10.71,9.97,12.51,7.22,9.36,4.98,9.57,9.89,11.28,9.75,19.5,5.23
soliq_qomitasi,21089.41,15666.7,366.59,233.17,10.85,11.09,10.23,12.68,6.47,9.71,5.2,10,10.49,12.1,10,19.38,5.22
foyda_soligi,5478.8,5478.07,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
aylanmadan_olinadigan_soliq,211.45,0,14.1,0,0.43,1.27,0.6,1.57,0.58,0.73,0.29,0.52,1.03,0.93,0.51,5,0.66
daromad_soligi,2971.24,1216.26,130.99,102.79,2.18,1.62,2.56,1.61,0.61,2.05,2.13,2.59,2.26,2.9,2.55,3.69,1.42
qqs,4560.23,4560.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aksiz_soligi,141659,937.55,33.63,24.08,0.11,0.7,1.48,0.96,0.14,0.71,0.13,1.65,0.51,0.85,1.48,0,0.83
mol_muk_soligi,628.8,0,38.87,20.12,0.72,1.64,0.97,2.38,1.28,1.34,0.47,1.21,1.2,1.25,0.98,4.59,0.73
yer_soligi,742.57,0,51.34,20.18,4.83,2.58,2.04,3.96,2.72,2.54,0.78,1.83,2.43,2.5,1.93,2.39,0.63
yer_qaridan_foydalangalik_uchun_solig,2057.07,2018.54,2.52,0,0,1.57,0,0.14,0.05,0,0,0.08,0,0,0.67,0.01,0
suv_resurslaridan_foydalanganlik_uchun_solig,216.71,0,11.95,0,1.46,1.06,0.72,0.46,0.44,1,0.64,1.11,1.74,2.12,0.65,0.51,0.03
boshqalar,1656.2,616.45,52.29,38.86,0.99,0.49,1.57,1.35,0.32,0.95,0.53,0.94,0.92,1.39,1.02,2.44,0.54
bojxona_qomitasi,5478.8,5478.07,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
iqtisodiyot_va_moliya_vazirligi,701.65,701.86,-2.64,0.53,-0.58,-0.38,-0.26,-0.17,0.75,-0.35,-0.22,-0.43,-0.6,-0.82,-0.24,0.12,0
