indikatorlar,davlat_byudjeti,respublika_byudjeti,samarqand_viloyati,viloyat_byudjeti,oqdaryo_tumani,bulungur_tumani,jomboy_tumani,ishtixon_tumani,kattaqorgon_tumani,qushrabod_tumani,narpay_tumani,payariq_tumani,pastdargom_tumani,paxtachi_tumani,samarqand_tumani,nurobod_tumani,urgut_tumani,toyloq_tumani,samarqand_shahri,kattaqorgon_shahri
I. DAROMADLAR,47846.37,40788.51,686.59,427.86,9.83,11.42,9.85,13.31,15.78,22.22,14.51,14.63,21.43,11.84,18.09,17.7,20.47,12.18,35.79,9.67
1. Soliq qumitasi,32423.23,25534.31,680.48,423.49,9.98,11.47,9.83,13.41,15.8,21.73,14.61,14.68,20.97,11.85,17.95,17.67,20.46,12.12,34.8,9.66
Foyda solig'i,15188.95,14358.8,89.77,79.35,0.29,0.39,0.72,0.15,0.95,0.14,0.94,0.78,0.25,0.45,1.19,0.2,0.81,0.25,1.21,1.69
Aylanmadan olinadigan soliq,193.27,0,17.22,3.99,0.53,0.6,0.8,0.6,0.76,0.29,0.63,0.57,1.14,0.62,1.81,0.37,1.52,0.65,1.85,0.49
Jismoniy shaxslardan olinadigan daromad solig'i,3868.77,1644.41,256.01,191.64,1.71,3.16,2.05,4.54,2.66,4.77,4.89,4.5,5.47,4.33,3.76,2.88,4.47,3.56,7.89,3.74
Qo'shilgan qiymat solig'i,3426.45,3426.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aksiz solig'i,1750.69,1322.95,34.1,26.41,0.08,0.13,0.19,0.68,0.49,0.45,0.61,0.86,0.32,1.37,0.38,0.44,0.18,0.41,0.63,0.44
Mol-mulk solig'i,891.52,0,63.77,20.15,1.84,1.69,1.39,1.77,1.96,0.69,1.49,1.86,3.66,1.11,3.91,1.17,4.43,2.19,13.14,1.33
Yer solig'i,1135.57,0,114.23,28.86,4.27,4.8,3.54,4.88,8.42,2.55,4.21,5.24,9.26,2.94,4.96,9.68,7.72,4.59,6.81,1.49
Yer qa'ridan foydalanganlik uchun soliq,4338.42,4306.77,4.18,0,0.16,0.04,0.04,0.07,0.07,0.13,0,0.02,0.13,0.52,0.56,2.39,0.01,0,0.04,0
Suv resurslaridan foydalanganlik uchun soliq,110.41,0,4.88,0,0.7,0.29,0.46,0.25,0.12,0.03,0.38,0.16,0.18,0.07,0.45,0.16,0.6,0.13,0.91,0.03
Boshqalar (dividend davlat boji jarima yigim),1519.18,474.92,96.3,73.08,0.39,0.36,0.62,0.46,0.36,12.67,1.46,0.7,0.57,0.45,0.94,0.38,0.72,0.34,2.32,0.47
2. Bojxona qumitasi,6730.51,6729.66,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3. Iqtisodiyot va moliya vazirligi,8692.63,8524.54,6.1,4.36,-0.14,-0.05,0.02,-0.09,-0.02,0.49,-0.1,-0.05,0.46,-0.01,0.15,0.03,0.01,0.06,0.98,0
